andamentos_certos,andamentos_errados
Juntada de documento,Prazo alterado pelo ajuste na tabela de feriados
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Concluso para Despacho
Juntada de documento,Prazo alterado pelo ajuste na tabela de feriados
Juntada de documento,Processo Distribuído por Sorteio
Juntada de documento,Conclusos
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Carta
Juntada de Petição,Expedição de Carta
Juntada de documento,Juntada de Petição
Juntada de documento,Certidão emitida
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Conclusos
Juntada de documento,Certidão emitida
Juntada de Petição,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de documento,Conclusos
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Petição
Juntada de documento,Conclusos
Juntada de documento,Decisão Proferida
Juntada de documento,Expedição de Carta
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Audiência Designada
Juntada de documento,Expedição de Termo de Audiência
Juntada de documento,Decorrido prazo
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de Petição
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Certidão emitida,Certidão emitida
Remetidos os Autos,Concluso para Sentença
Concluso para Despacho,Decorrido prazo
Proferido despacho de mero expediente,Julgado improcedente o pedido
Concluso para Despacho,Encaminhado edital/relação para publicação
Expedição de Ofício,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Proferido despacho de mero expediente,Transitado em Julgado
Proferido despacho de mero expediente,Arquivado Definitivamente
Concluso ao juiz,Concluso para Despacho
Juntada de documento,Juntada de Petição
Expedição de documento,Juntada de documento
Expedição de documento,Processo Distribuído por Sorteio
Juntada de documento,Conclusos
Audiência de instrução realizada,Citação ou notificação da parte
Audiência de instrução designada,Certidão emitida
Audiência de instrução realizada,Expedição de Carta
Audiência de instrução designada,Juntada de Petição
Audiência de instrução cancelada,Concluso para Despacho
Audiência de instrução designada,Proferido despacho de mero expediente
Audiência de instrução realizada,Certidão emitida
Audiência de instrução designada,Encaminhado edital/relação para publicação
Audiência de instrução realizada,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Audiência de instrução designada,Juntada de Aviso de Recebimento (AR)
Audiência de ouvida de testemunha de acusação cancelada,Juntada de Petição
Audiência de ouvida de testemunha de acusação designada,Concluso para Despacho
Concluso ao juiz,Proferido despacho de mero expediente
Concluso ao juiz,Certidão emitida
Recebidos os autos,Encaminhado edital/relação para publicação
Autos entregues com carga/vista ao defensor público,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Carta
Concluso ao juiz,Juntada de Petição
Audiência de instrução cancelada,Decorrido prazo
Audiência de instrução designada,Juntada de Aviso de Recebimento (AR)
Audiência de instrução cancelada,Sessão de Conciliação não-realizada
Audiência de instrução designada,Juntada de documento
Entrada de petição de acompanhamento,Concluso para Despacho
